gene_id,25_0_r1,25_0_r2,25_0_r3,42_10_r1,42_10_r2,42_10_r3,42_30_r1,42_30_r2,42_30_r3
15S_rRNA,2,0,5,0,2,0,1,2,1
21S_rRNA,79,18,33,50,11,12,27,67,33
HRA1,0,0,1,5,2,4,3,5,8
ICR1,105,154,215,208,159,162,297,495,418
LSR1,51,8,9,8,12,12,39,43,58
NME1,23,10,15,172,43,74,104,188,161
PWR1,2,0,1,54,13,21,31,31,30
Q0010,0,0,0,0,0,0,0,0,0
Q0017,0,0,0,0,0,0,0,0,0
Q0032,0,0,0,0,0,0,0,0,0
Q0045,1,0,0,4,3,1,0,1,2
Q0050,11,4,3,8,2,2,0,0,1
Q0055,8,0,2,2,0,2,1,4,1
Q0060,0,0,0,0,0,0,0,0,0
Q0065,0,0,0,0,0,0,0,0,1
Q0070,0,0,0,0,0,0,0,0,0
Q0075,7,0,1,2,0,0,0,0,1
Q0080,0,0,0,0,0,0,0,0,0
Q0085,1,0,0,0,0,0,0,0,0
Q0092,0,0,0,0,0,0,0,0,0
Q0105,5,4,2,1,1,1,2,6,3
Q0110,0,0,0,0,0,0,0,0,0
Q0115,0,0,1,0,0,0,0,1,0
Q0120,1,0,0,2,2,0,1,1,0
Q0130,0,0,0,0,0,0,0,0,0
Q0140,0,0,0,0,0,0,0,0,0
Q0142,0,0,0,0,0,0,0,0,0
Q0143,0,0,0,0,0,0,0,0,0
Q0144,0,0,0,0,0,0,0,0,0
Q0160,1,0,0,0,0,0,0,0,0
Q0182,0,0,0,0,0,0,0,0,0
Q0250,0,0,0,1,0,0,0,0,1
Q0255,0,0,0,0,0,0,0,1,0
Q0275,0,0,3,6,0,1,3,3,4
Q0297,0,0,0,0,0,0,0,0,0
RDN18-1,0,0,0,0,0,0,0,0,0
RDN18-2,0,0,0,0,0,0,0,0,0
RDN25-1,0,0,0,0,0,0,0,0,0
RDN25-2,0,0,0,0,0,0,0,0,0
RDN37-1,0,0,0,0,0,0,0,0,0
RDN37-2,0,0,0,0,0,0,0,0,0
RDN5-1,0,0,0,0,0,0,0,0,0
RDN5-2,0,0,0,0,0,0,0,0,0
RDN5-3,0,0,0,0,0,0,0,0,0
RDN5-4,0,0,0,0,0,0,0,0,0
RDN5-5,0,0,0,0,0,0,0,0,0
RDN5-6,0,0,0,0,0,0,0,0,0
RDN58-1,0,0,0,0,0,0,0,0,0
RDN58-2,0,0,0,0,0,0,0,0,0
RNA170,0,0,0,2,0,0,2,2,1
RPM1,0,0,0,0,0,0,0,1,0
RPR1,53,6,18,79,40,50,76,89,139
RUF20,3,4,7,0,2,0,1,0,2
RUF21,0,0,0,8,3,6,7,12,10
RUF22,0,0,0,0,0,0,0,0,2
RUF23,0,0,1,1,1,0,0,1,2
RUF5-1,0,0,0,0,0,0,0,0,0
RUF5-2,0,0,0,0,0,0,0,0,0
SCR1,267,36,19,133,121,122,277,281,555
snR10,23,6,9,24,13,6,38,95,48
snR11,6,2,13,7,3,4,2,4,2
snR128,11,3,1,18,7,18,8,25,23
snR13,0,0,1,3,0,1,4,3,8
snR14,1,0,0,3,0,1,2,4,5
snR161,11,7,8,38,17,25,18,24,31
snR17a,35,9,7,40,12,23,23,50,65
snR17b,36,4,10,12,4,5,7,6,15
